seq_idx,target_return,feat_logret,feat_sign,feat_absret,feat_rollmean
0,0.02371462,-0.25898317,1.00000000,-1.00000000,-0.25605634
1,0.01742207,-0.26712648,-1.00000000,-0.98712087,-0.17216283
2,0.00903787,-0.18865890,1.00000000,-0.88828401,-0.17094341
3,0.02980589,-0.20732384,1.00000000,-0.91793483,-0.11933745
4,-0.01545021,-0.23219306,1.00000000,-0.95744167,-0.14134961
5,-0.01016020,-0.17059097,1.00000000,-0.85958161,-0.20001247
6,0.00311652,-0.30482956,-1.00000000,-0.92722638,-0.22478617
7,-0.00657672,-0.28913836,-1.00000000,-0.95215316,-0.25182679
8,-0.02209519,-0.24975695,1.00000000,-0.98534338,-0.34170669
9,0.08879959,-0.27850903,-1.00000000,-0.96903875,-0.16117167
10,-0.01265155,-0.32453990,-1.00000000,-0.89591486,-0.16548607
11,-0.00798773,0.00439611,1.00000000,-0.58160000,-0.18471591
12,0.03986039,-0.29652819,-1.00000000,-0.94041380,-0.10429825
13,0.04998374,-0.28269438,-1.00000000,-0.96238996,0.02052472
14,-0.01001490,-0.14076731,1.00000000,-0.81220423,-0.15059768
15,0.05091103,-0.11073945,1.00000000,-0.76450246,-0.04052292
16,-0.00456642,-0.28870736,-1.00000000,-0.95283784,-0.03459803
17,0.04599049,-0.10798891,1.00000000,-0.76013299,-0.02398222
18,-0.00350886,-0.27254607,-1.00000000,-0.97851140,-0.11661825
19,0.03803588,-0.12258423,1.00000000,-0.78331889,-0.03340612
20,-0.03128928,-0.26940916,-1.00000000,-0.98349465,-0.17575686
21,-0.01866275,-0.14617919,1.00000000,-0.82080144,-0.20016824
22,0.05372226,-0.35181142,-1.00000000,-0.85259177,-0.18677870
23,0.00203707,-0.31435860,-1.00000000,-0.91208870,-0.17717452
24,-0.07737244,-0.09965024,1.00000000,-0.74688632,-0.37703335
25,-0.03819063,-0.25295883,1.00000000,-0.99042983,-0.38898478
26,0.03803432,-0.48850325,-1.00000000,-0.63544538,-0.29079939
27,0.03550304,-0.37228219,-1.00000000,-0.82007225,-0.32235061
28,0.01316017,-0.14618380,1.00000000,-0.82080877,-0.30308813
29,-0.00443194,-0.15369209,1.00000000,-0.83273632,-0.17677311
30,-0.03399233,-0.21996548,1.00000000,-0.93801714,-0.16950269
31,-0.03110675,-0.27214718,-1.00000000,-0.97914507,-0.28923803
32,0.02554806,-0.35982920,-1.00000000,-0.83985485,-0.30647761
33,0.01950975,-0.35127000,-1.00000000,-0.85345186,-0.29548170
34,0.07114217,-0.18322055,1.00000000,-0.87964474,-0.16460593
35,0.06575947,-0.20113136,1.00000000,-0.90809757,0.00813967
36,0.09861176,-0.04797933,1.00000000,-0.66480276,0.23278023
37,-0.10113224,-0.06394548,1.00000000,-0.69016633,0.01340110
38,0.02555457,0.03350095,1.00000000,-0.53536453,0.02386925
39,-0.11241782,-0.55897955,-1.00000000,-0.52348788,-0.29401151
40,0.03364795,-0.18320122,1.00000000,-0.87961403,-0.34962077
41,0.03772450,-0.59245481,-1.00000000,-0.47030963,-0.45506253
42,-0.03782734,-0.15919464,1.00000000,-0.84147758,-0.34543400
43,0.04507377,-0.14710280,1.00000000,-0.82226867,-0.31163155
44,-0.01275192,-0.37120459,-1.00000000,-0.82178410,-0.13903472
45,-0.14286591,-0.12530338,1.00000000,-0.78763849,-0.44471333
46,-0.17777299,-0.29682590,-1.00000000,-0.93994086,-0.81790200
47,-0.02067011,-0.68276992,-1.00000000,-0.32683653,-0.78818991
48,0.09632276,-0.78631128,-1.00000000,-0.16235242,-0.69943926
49,-0.00467706,-0.32031285,-1.00000000,-0.90262988,-0.68545559
50,-0.06753825,0.02671132,1.00000000,-0.54615043,-0.55500661
51,-0.06340163,-0.27287426,-1.00000000,-0.97799005,-0.35694353
52,0.18351165,-0.45933309,-1.00000000,-0.68178461,-0.00335091
53,-0.07110545,-0.44706303,-1.00000000,-0.70127663,-0.29329539
54,-0.10425283,0.28533095,1.00000000,-0.13531152,-0.46573616
