seq_idx,target_return,feat_logret,feat_sign,feat_absret,feat_rollmean
0,-0.00089775,0.18034091,1.00000000,-0.93784551,0.42241517
1,-0.00564963,0.28850181,1.00000000,-0.74885878,0.26917803
2,-0.02090012,0.13503445,-1.00000000,-0.98321614,0.01121704
3,-0.03823874,0.08385035,-1.00000000,-0.89378350,-0.23599239
4,0.01333801,-0.08041783,-1.00000000,-0.60676197,-0.23606373
5,0.00701444,-0.26717805,-1.00000000,-0.28044070,-0.18898553
6,-0.01904458,0.28837268,1.00000000,-0.74908441,-0.26868666
7,0.01058341,0.22025929,1.00000000,-0.86809716,-0.08135695
8,0.00653343,-0.06043123,-1.00000000,-0.64168406,0.18504137
9,-0.00588200,0.25870192,1.00000000,-0.80092736,0.07068066
10,-0.01386620,0.21507822,1.00000000,-0.87714991,-0.05356095
11,0.00536322,0.08134745,-1.00000000,-0.88941025,0.09166758
12,-0.00451029,-0.00465315,-1.00000000,-0.73914364,0.00185875
13,-0.02135623,0.20247346,1.00000000,-0.89917388,-0.16408712
14,0.00106350,0.09612256,-1.00000000,-0.91522641,-0.12276085
15,0.00080539,-0.08533074,-1.00000000,-0.59817779,-0.03546361
16,-0.00915941,0.15615969,1.00000000,-0.98009671,-0.12187449
17,-0.01493598,0.15337953,1.00000000,-0.98495441,-0.18390825
18,-0.02398581,0.04604533,-1.00000000,-0.82772777,-0.19955449
19,0.02047941,-0.01617607,-1.00000000,-0.71900993,-0.08402809
20,-0.00767786,-0.11365486,-1.00000000,-0.54868779,-0.13450415
21,0.00998720,0.36529513,1.00000000,-0.61467981,-0.02058015
22,-0.00452151,0.06200360,-1.00000000,-0.85561124,0.04138683
23,-0.02605619,0.25227997,1.00000000,-0.81214826,0.02906785
24,0.00447518,0.09600169,-1.00000000,-0.91501522,-0.06615876
25,-0.01402830,-0.13595569,-1.00000000,-0.50972212,-0.10394442
26,-0.01035750,0.19290804,1.00000000,-0.91588728,-0.22499716
27,-0.02793992,-0.00639913,-1.00000000,-0.73609293,-0.36433872
28,-0.01838295,0.03314028,-1.00000000,-0.80517912,-0.31868223
29,-0.00287355,-0.15624593,-1.00000000,-0.47426952,-0.36240781
30,-0.02101694,-0.05330454,-1.00000000,-0.65413633,-0.40399085
31,-0.05231038,0.11375238,-1.00000000,-0.94603054,-0.65361414
32,-0.01640585,-0.08167619,-1.00000000,-0.60456329,-0.58498541
33,0.02618608,-0.41874843,-1.00000000,-0.01560573,-0.31979584
34,0.00290929,-0.03200853,-1.00000000,-0.69134629,-0.28538741
35,0.00263960,0.42676355,1.00000000,-0.50727764,-0.14462895
36,-0.00992291,0.17604137,1.00000000,-0.94535799,0.10758020
37,-0.02101612,0.17313642,1.00000000,-0.95043373,0.08014868
38,-0.00904711,0.03782143,-1.00000000,-0.81335837,-0.12949187
39,-0.00545338,-0.08166734,-1.00000000,-0.60457875,-0.17925050
40,0.00124499,0.04725490,-1.00000000,-0.82984123,-0.18754854
41,0.01129838,0.08596417,-1.00000000,-0.89747693,-0.06128007
42,-0.01039464,0.15811462,1.00000000,-0.97668091,0.00191864
43,0.03933226,0.26640306,1.00000000,-0.78747135,0.28978009
44,0.01022162,0.03274019,-1.00000000,-0.80448004,0.38304774
45,-0.02400507,0.56836551,1.00000000,-0.25986022,0.23280771
46,-0.02112778,0.25480498,1.00000000,-0.80773637,0.03986927
47,0.00231557,-0.11386231,-1.00000000,-0.54832531,0.11549611
48,0.00028871,-0.08287006,-1.00000000,-0.60247727,-0.11681637
49,0.00609593,0.16964616,1.00000000,-0.95653217,-0.14136457
50,-0.00372032,0.14781424,1.00000000,-0.99467850,-0.02066855
51,-0.01015257,0.21036580,1.00000000,-0.88538380,0.04463488
52,-0.00711942,0.10463160,-1.00000000,-0.93009404,-0.01150412
53,0.03026066,0.03534761,-1.00000000,-0.80903593,0.16683154
54,0.01857319,0.06801869,-1.00000000,-0.86612125,0.24107227
55,0.00457228,0.47065221,1.00000000,-0.43059212,0.29041392
56,-0.00182291,0.34476251,1.00000000,-0.65055593,0.33997615
57,0.00383574,0.19395394,1.00000000,-0.91405981,0.40516035
58,0.02941364,0.12506926,-1.00000000,-0.96580422,0.40012054
59,0.03425252,0.18602052,1.00000000,-0.92792167,0.49341394
60,0.02370039,0.46152874,1.00000000,-0.44653333,0.60722785
61,-0.00538746,0.51364993,1.00000000,-0.35546334,0.58601843
62,0.02160746,0.39998931,1.00000000,-0.55405958,0.69176167
63,0.01653569,0.08667422,-1.00000000,-0.89871756,0.61513675
64,-0.00175915,0.37744567,1.00000000,-0.59344949,0.40086420
65,-0.02146466,0.32281597,1.00000000,-0.68890254,0.13212826
66,-0.00746960,0.12575603,-1.00000000,-0.96700421,0.11973938
67,-0.00975320,-0.08649872,-1.00000000,-0.59613701,-0.06685927
68,-0.01806288,0.06424685,-1.00000000,-0.85953081,-0.27272381
69,-0.00143371,0.03964934,-1.00000000,-0.81655222,-0.27078742
70,-0.00259358,-0.04985704,-1.00000000,-0.66016005,-0.15850286
71,0.00140096,0.12926144,-1.00000000,-0.97312912,-0.10572227
72,0.00033633,0.11676810,-1.00000000,-0.95129982,-0.04568866
73,-0.01017019,0.15979463,1.00000000,-0.97374549,0.00127358
74,0.03041867,0.14832714,1.00000000,-0.99378233,0.19079799
75,0.01717428,0.03515790,-1.00000000,-0.80870444,0.30841849
76,-0.01561805,0.47235421,1.00000000,-0.42761827,0.20715390
77,0.00755271,0.32969445,1.00000000,-0.67688396,0.25009201
78,0.00944119,-0.02352290,-1.00000000,-0.70617301,0.36678142
79,0.00271703,0.22605726,1.00000000,-0.85796652,0.20195428
80,0.01697671,0.24639872,1.00000000,-0.82242442,0.20077871
81,-0.00456540,0.17397050,1.00000000,-0.94897636,0.26654295
82,-0.00649575,0.32756632,1.00000000,-0.68060238,0.18295337
83,-0.02191823,0.09552897,-1.00000000,-0.91418924,-0.00363793
