seq_idx,target_return,feat_logret,feat_sign,feat_absret,feat_rollmean
0,0.00036149,-0.03181327,-1.00000000,-0.87217013,-0.22177249
1,0.00443069,-0.02933668,-1.00000000,-0.87695908,-0.15501276
2,-0.00927167,0.03978728,1.00000000,-0.98987127,-0.18188665
3,0.01338197,0.10018902,1.00000000,-0.87307321,-0.04802696
4,-0.00161406,-0.10320418,-1.00000000,-0.73412246,-0.02791333
5,-0.00118250,0.23305885,1.00000000,-0.61614454,-0.03949577
6,-0.00494784,0.01046275,-1.00000000,-0.95391873,-0.10984986
7,-0.00845862,0.01686876,-1.00000000,-0.96630593,-0.10375070
8,0.00428138,-0.03902269,-1.00000000,-0.85822937,-0.17201981
9,-0.00183980,-0.09113559,-1.00000000,-0.75745932,-0.17371320
10,0.00152000,0.09797273,1.00000000,-0.87735881,-0.15344005
11,0.01879827,0.00711200,-1.00000000,-0.94743942,0.02469407
12,0.00442757,0.05698383,1.00000000,-0.95661852,0.12136130
13,-0.01370224,0.31345657,1.00000000,-0.46068050,-0.01354487
14,-0.02271776,0.10014272,1.00000000,-0.87316274,-0.17016327
15,-0.00078993,-0.16897010,-1.00000000,-0.60695175,-0.18749148
16,-0.01032707,-0.30279347,-1.00000000,-0.34817923,-0.40597855
17,0.00970039,0.02269598,-1.00000000,-0.97757397,-0.36642387
18,0.00161401,-0.11887026,-1.00000000,-0.70382917,-0.25152724
19,0.00197903,0.17841075,1.00000000,-0.72181686,-0.06626145
20,0.00399852,0.05837926,1.00000000,-0.95392020,-0.03034035
21,-0.00402805,0.06379742,1.00000000,-0.94344317,0.01691251
22,0.00191738,0.09377413,1.00000000,-0.88547760,-0.04147266
23,0.00898149,-0.02536963,-1.00000000,-0.88463011,0.01379530
24,0.00949188,0.06288231,1.00000000,-0.94521271,0.07015384
25,0.00675872,0.16773960,1.00000000,-0.74245152,0.09085978
26,-0.03975034,0.17531574,1.00000000,-0.72780165,-0.17711503
27,0.00144504,0.13474558,1.00000000,-0.80625164,-0.18065832
28,0.00236521,-0.55561932,-1.00000000,0.14070684,-0.23029108
29,0.01373182,0.05587109,1.00000000,-0.95877020,-0.19848468
30,0.00722405,0.06952979,1.00000000,-0.93235856,-0.19499399
31,-0.00974574,0.23825200,1.00000000,-0.60610262,0.03008888
32,0.00982843,0.14165271,1.00000000,-0.79289540,0.09297784
33,0.00137238,-0.11024119,-1.00000000,-0.72051509,0.08553001
34,-0.02905375,0.18031134,1.00000000,-0.71814171,-0.23543086
35,0.00310602,0.05479255,1.00000000,-0.96085578,-0.26632268
36,0.00113431,-0.39684278,-1.00000000,-0.16631729,-0.18470473
37,-0.00719366,0.08052617,1.00000000,-0.91109500,-0.31239786
38,0.00389588,0.05125867,1.00000000,-0.96768919,-0.29346758
39,0.01030298,-0.07235884,-1.00000000,-0.79376769,0.00177140
40,0.00293938,0.09225046,1.00000000,-0.88842390,0.00052127
