seq_idx,target_return,feat_logret,feat_sign,feat_absret,feat_rollmean
0,0.00347467,0.06544014,-1.00000000,-0.88890006,0.24382140
1,-0.00002985,0.31697397,1.00000000,-0.66568501,0.27132997
2,0.00002713,0.29003447,1.00000000,-0.71344559,0.22540800
3,-0.00093700,0.12686463,-1.00000000,-0.99779846,0.23618366
4,0.00161333,0.12951779,1.00000000,-0.99802277,0.17238506
5,0.00016345,0.08462786,-1.00000000,-0.92291763,0.08580468
6,0.00085198,0.20337080,1.00000000,-0.86709007,0.10886249
7,0.00003915,0.13586486,1.00000000,-0.98677017,0.10917657
8,-0.00041264,0.16792258,1.00000000,-0.92993561,0.12288734
9,-0.00067915,0.13007707,1.00000000,-0.99703124,0.06294437
10,0.00179745,0.10904198,-1.00000000,-0.96620100,0.10566958
11,-0.00087278,0.09663317,-1.00000000,-0.94420163,0.06057111
12,0.00202286,0.21194363,1.00000000,-0.85189145,0.11244045
13,-0.00082402,0.08761785,-1.00000000,-0.92821854,0.10168392
14,-0.00132138,0.22243836,1.00000000,-0.83328553,0.08489124
15,0.00275215,0.08988834,-1.00000000,-0.93224384,0.10985439
16,0.00318625,0.06673123,-1.00000000,-0.89118901,0.21598853
17,0.00292971,0.25639435,1.00000000,-0.77308555,0.23970062
18,0.00127043,0.27660592,1.00000000,-0.73725281,0.29446546
19,-0.00039234,0.26466136,1.00000000,-0.75842913,0.31875773
20,-0.00168116,0.18740552,1.00000000,-0.89539465,0.20283705
21,-0.00021847,0.10998733,-1.00000000,-0.96787699,0.11381154
22,-0.00090952,0.04997984,-1.00000000,-0.86149077,0.01342478
23,-0.00170498,0.11808239,-1.00000000,-0.98222858,-0.06437521
24,0.00167083,0.08590738,-1.00000000,-0.92518608,-0.01042826
25,0.00002300,0.04887072,-1.00000000,-0.85952443,0.03413160
26,-0.00088674,0.20604813,1.00000000,-0.86234348,0.01665805
27,-0.00360584,0.12932549,1.00000000,-0.99836370,-0.05384431
28,-0.00335819,0.08696806,-1.00000000,-0.92706653,-0.09707173
29,-0.00038376,-0.03963285,-1.00000000,-0.70261801,-0.15079429
30,0.00211717,-0.02810232,-1.00000000,-0.72306029,-0.09603684
31,-0.00003778,0.11038689,-1.00000000,-0.96858537,-0.07383850
32,0.00053198,0.22682951,1.00000000,-0.82550054,0.03435554
33,0.00135761,0.12649560,-1.00000000,-0.99714421,0.15766245
34,0.00143148,0.15302319,1.00000000,-0.95635047,0.20512662
35,-0.00047758,0.19146450,1.00000000,-0.88819854,0.13728008
36,-0.00239757,0.19490410,1.00000000,-0.88210053,0.07557697
37,-0.00048675,0.10601837,-1.00000000,-0.96084049,0.04893980
38,-0.00662025,0.01662377,-1.00000000,-0.80235439,-0.15966219
39,0.00160147,0.10559163,-1.00000000,-0.96008393,-0.15521737
40,-0.00108242,-0.17998325,-1.00000000,-0.45379326,-0.17103248
41,-0.00000573,0.20281878,1.00000000,-0.86806875,-0.10849144
42,-0.00172327,0.07785715,-1.00000000,-0.91091397,-0.14082371
43,-0.00213511,0.12798766,-1.00000000,-0.99978946,-0.02354792
44,0.00090421,0.04801907,-1.00000000,-0.85801456,-0.04177978
45,0.00186641,0.02884424,-1.00000000,-0.82401984,0.03532521
46,-0.00030626,0.17035415,1.00000000,-0.92562471,0.02746709
47,0.00366771,0.21515440,1.00000000,-0.84619914,0.16842861
48,0.00060613,0.11399507,-1.00000000,-0.97498225,0.24010532
49,0.00500572,0.29902261,1.00000000,-0.69751066,0.34735026
50,0.00289120,0.15647559,1.00000000,-0.95022977,0.37414592
51,0.00141048,0.36132018,1.00000000,-0.58706440,0.41903455
52,-0.00266893,0.26286817,1.00000000,-0.76160824,0.25334648
53,0.00041051,0.19392614,1.00000000,-0.88383434,0.24823168
54,-0.00028496,0.00398967,-1.00000000,-0.77995560,0.10989294
55,0.00087357,0.14736790,1.00000000,-0.96637664,0.05713670
56,-0.00105490,0.11498689,-1.00000000,-0.97674063,-0.00732723
57,0.00363727,0.16892761,1.00000000,-0.92815380,0.15756484
58,-0.00022016,0.07913826,-1.00000000,-0.91318522,0.14107433
59,-0.00059567,0.29760522,1.00000000,-0.70002353,0.13294981
60,-0.00430643,0.11800402,-1.00000000,-0.98208964,-0.00249481
61,0.00268731,0.10051995,-1.00000000,-0.95109243,0.09535532
62,0.00130251,-0.07225226,-1.00000000,-0.64478763,0.03430693
63,-0.00143026,0.25337540,1.00000000,-0.77843780,0.00266566
64,0.00138521,0.18889922,1.00000000,-0.89274649,0.05446102
65,-0.00002682,0.06166189,-1.00000000,-0.88220167,0.16636260
66,0.00164720,0.19274951,1.00000000,-0.88592038,0.13916612
67,-0.00248418,0.12700563,-1.00000000,-0.99804844,0.04015308
