Model,Asset,Annual Return %,Sharpe,Max Drawdown %
LSTM,EQUITY_MID,-1.41,-0.07,14.59
BiLSTM,EQUITY_MID,-31.81,-1.61,19.99
PatchTST,EQUITY_MID,-31.85,-1.62,21.94
N-BEATS,EQUITY_MID,52.40,2.68,6.83
iTransformer,EQUITY_MID,9.73,0.49,6.76
QLSTM,EQUITY_MID,-35.55,-1.81,16.56
LSTM,EQUITY_HIGH,25.69,0.75,20.84
BiLSTM,EQUITY_HIGH,-28.30,-0.83,26.31
PatchTST,EQUITY_HIGH,-69.77,-2.06,34.52
N-BEATS,EQUITY_HIGH,96.89,2.88,11.94
iTransformer,EQUITY_HIGH,-1.91,-0.06,18.26
QLSTM,EQUITY_HIGH,-5.93,-0.17,18.00
LSTM,FX,0.53,0.09,4.84
BiLSTM,FX,-12.66,-2.01,6.75
PatchTST,FX,-20.74,-3.33,9.57
N-BEATS,FX,9.54,1.51,2.99
iTransformer,FX,-1.91,-0.30,2.61
QLSTM,FX,-15.64,-2.54,7.15
LSTM,CRYPTO,75.18,0.86,37.10
BiLSTM,CRYPTO,-45.31,-0.52,51.78
PatchTST,CRYPTO,34.52,0.40,62.98
N-BEATS,CRYPTO,260.72,3.05,30.89
iTransformer,CRYPTO,-18.44,-0.21,42.31
QLSTM,CRYPTO,-25.36,-0.29,42.42
